,treatment,gender,age,nationality,education,field_of_work,political_party,undefined_question_1,undefined_question_2,undefined_question_3,undefined_question_4,zsg_question_1,zsg_question_2,zsg_question_3,zsg_question_4,nzsg_question_1,nzsg_question_2,nzsg_question_3,nzsg_question_4,nbzsg_avg,nredist_avg,bzsg_factor,redist_factor,redist_factor_2,undefined_effort_diff,zsg_effort_diff,nzsg_effort_diff,undefined_effort_diff_d,zsg_effort_diff_d,nzsg_effort_diff_d,undefined_effort_winner,zsg_effort_winner,nzsg_effort_winner,undefined_effort_loser,zsg_effort_loser,nzsg_effort_loser,counter,diff_zs_nzs,avg_redist_amount,zero_redist
39,treatment_4,1.0,28.0,1.0,2.0,13.0,6.0,0.6666666666666666,1.0,0.5,0.5,0.8333333333333334,1.0,0.5,0.5,0.8333333333333334,1.0,0.49875,0.49875,0.7708333333333334,0.875,0.8157030234618794,0.8293545301685838,0.92820340884571,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0012499999999999734,0.4995833333333333,0
40,treatment_5,2.0,52.0,1.0,1.0,12.0,7.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.33333333333333337,0.7083333333333334,0.38823056318414534,0.693180848766269,0.6391015685390964,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
43,treatment_2,2.0,34.0,2.0,1.0,9.0,5.0,0.6666666666666666,1.0,0.37625,0.185,0.16666666666666666,1.0,0.1,0.0,0.8333333333333334,1.0,0.55,0.25,0.4375,0.9583333333333334,0.43641005731891314,0.977497283233922,0.716554548606117,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,-0.45000000000000007,0.34208333333333335,0
44,treatment_3,1.0,39.0,1.0,1.0,11.0,7.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4375,0.9166666666666666,0.45119515889629785,1.0012666394746923,0.47520909025522634,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
45,treatment_4,2.0,55.0,1.0,1.0,10.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.11625,0.0,0.2708333333333333,0.75,0.23275639579239948,0.702688262973529,0.7877992859870635,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.11625,0.03875,0
46,treatment_5,2.0,51.0,1.0,1.0,10.0,1.0,0.3333333333333333,1.0,0.15000000000000002,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.375,0.15761484784699317,0.30069502242001533,0.5697978226633708,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.05000000000000001,0
47,treatment_6,2.0,24.0,1.0,1.0,10.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.375,0.8333333333333333,0.38260627372735956,0.9104695862148104,0.40010788567960587,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.25,0.08333333333333333,0
48,treatment_1,2.0,18.0,3.0,5.0,11.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.375,0.5,0.3535323023539494,0.664702403119504,-0.15989165069117037,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
50,treatment_3,2.0,58.0,1.0,3.0,12.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.365,0.12625,0.41666666666666663,0.875,0.42052424030749186,0.8640992074060212,0.7617025313118787,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.365,0.12166666666666666,0
51,treatment_4,2.0,44.0,1.0,1.0,11.0,5.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5625,0.8333333333333334,0.5694720292329991,0.8187006807760803,0.7241519290240684,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
